Job Name,label,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted
"Full Time New Job Positions .Net, .Netcore, Flutter, Tea Boy Jobs in Pakistan",Premium Job,"Nayel Solutions, Pakistan",Full Time Jobs,2 Years Job Exp.,IT Jobs,"New Job Positions .net, .netcore, flutter, Tea boy in Nayel Solutions3 Positions for .net \ .netcore Developer programming language c#2 Positions for Flutter dart Developer1 Position for Tea boy",Islamabad,12-Mar-21
Full Time Senior Web Developer Jobs in Pakistan,Premium Job,"Eurosoft Tech Private Limited, Pakistan",Full Time Jobs,2 Years Job Exp.,IT Jobs,"We are looking for an experienced Web Developer.Responsible for creating the design and layout of a website or web pagesKnowledge Of Front End Technologies Including CSS3, JavaScript, HTML5, And jQuery.Familiarity With Word Press Development and E-Co",Karachi,12-Mar-21
Full Time Russian Speakers Jobs in Pakistan,Premium Job,"ICM JAPAN, Pakistan",Full Time Jobs,< 1 Year,Customer Service Jobs,International clients dealing exposure (B2B).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing customers.Sal,Karachi,12-Mar-21
Full Time Customer Support Specialist - International Jobs in Pakistan,Premium Job,"ibex, Pakistan",Full Time Jobs,Job for Fresh Graduates,Customer Service Jobs,"Responsible for acting as a liaison between our customer and the respective client. Provides assistance to the customers with their questions, issues, new orders, service delivery requirements, billing, and any other query.Location: Karachi, Lahore &",Islamabad,9-Mar-21
Full Time English Speaker - International Business Development Executive - BDE Job in Pakistan,Premium Job,"ICM JAPAN, Pakistan",Full Time Job,< 1 Year,Customer Service Job,International clients dealing exposure (B2B) and (B2C).Search new customers and bring business for the company.To promote business in the given region or country and Manage Business Accounts of customers.To maintain quality services with existing cus,Karachi,5-Mar-21
Full Time Socks Operation Manager And Socks Inspector - Textiles Job in Pakistan,Premium Job,"Uni Hosiery Co. Inc., Pakistan",Full Time Job,5 Years Job Exp.,Production Job,"NOTE: Apply By Sending Your CV/Resume to: hrdpk @ unihosiery.comCandidates with less than 5 years experience will not be considered for this position.
A US based national-leading hosiery importer is seeking for candidates who can join us as &#39; Soc",Faisalabad,5-Mar-21
Full Time Call Center - Lead Agent Jobs in Pakistan,Premium Job,"Pakistan Sweet Home AFP, Pakistan",Full Time Jobs,3 Years Job Exp.,Sales Jobs,"Each Lead Agent is responsible for generating a sales lead of Rs 100,000 (minimum). The agent has to establish his potential clientele database and keep follow up regularly.Job ResponsibilitiesMaking outbound phone calls to our donors, members and pr",Islamabad,22-Feb-21
Full Time Manager Accounts & Taxation (CA) Jobs in Pakistan,Premium Job,"Mercantile Enterprises Pvt Ltd, Pakistan",Full Time Jobs,4 Years Job Exp.,Publishing Jobs,"We at Mercantile Enterprises (Pvt) Ltd is looking for an experienced Manager Accounts &amp; TaxationTo prepare final accounts as per accounting standards, ensuring compliance with statutory and company requirements;To establish, maintain, monitor, co",Lahore,19-Feb-21
"Online Full Time Remote Researcher, Content Creator, And Assistant Job in Pakistan",Premium Job,"Confidential, Pakistan",Full Time Job,< 1 Year,Admin Job,"This job is a remote working opportunity. We are a small service company located in Texas. We specialize in piano tuning, moving, repair, and restoration.Job Benefits Ability to work from home with flexible scheduling, only 1-2 hours of fixed schedul",Faisalabad,17-Feb-21
Full Time Angularjs And .Net Core Developer Jobs in Pakistan,Premium Job,"Eurosoft Tech Private Limited, Pakistan",Full Time Jobs,7 Years Job Exp.,IT Jobs,"Command on following skillsAngularJS
NodeJs
Dot net core
C# MVC
jQuery
Restful API architecture
web socket
IIS configuration
Push Notification
Sql server 2019, Visual studio 2017minimum 7 years good work experience required.
Responsible for developme",Karachi,16-Feb-21
